date,cases
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,2
2022-06-17,3
2022-06-18,3
2022-06-19,3
2022-06-20,3
2022-06-21,3
2022-06-22,3
2022-06-23,3
2022-06-24,3
2022-06-25,3
2022-06-26,3
2022-06-27,3
2022-06-28,3
2022-06-29,3
2022-06-30,3
2022-07-01,3
2022-07-02,3
2022-07-03,3
2022-07-04,3
2022-07-05,3
2022-07-06,3
2022-07-07,3
2022-07-08,6
2022-07-09,6
2022-07-10,6
2022-07-11,6
2022-07-12,6
2022-07-13,6
2022-07-14,6
2022-07-15,10
2022-07-16,10
2022-07-17,10
2022-07-18,10
2022-07-19,10
2022-07-20,10
2022-07-21,10
2022-07-22,20
2022-07-23,20
2022-07-24,20
2022-07-25,20
2022-07-26,20
2022-07-27,20
2022-07-28,27
2022-07-29,27
2022-07-30,27
2022-07-31,27
2022-08-01,27
2022-08-02,54
2022-08-03,54
2022-08-04,54
2022-08-05,54
2022-08-06,54
2022-08-07,98
2022-08-08,98
2022-08-09,104
2022-08-10,121
2022-08-11,134
2022-08-14,163
2022-08-15,170
2022-08-16,176
2022-08-17,180
2022-08-18,180
2022-08-19,184
2022-08-20,209
2022-08-21,223
2022-08-22,224
2022-08-23,239
2022-08-24,239
2022-08-25,249
2022-08-26,249
2022-08-27,270
2022-08-28,275
2022-08-29,275
2022-08-30,275
2022-08-31,290
2022-09-01,298
2022-09-02,298
2022-09-03,313
2022-09-04,313
2022-09-05,313
2022-09-06,313
2022-09-07,328
2022-09-08,334
2022-09-09,334
2022-09-10,345
2022-09-11,351
2022-09-12,356
2022-09-13,357
2022-09-14,360
2022-09-15,368
2022-09-18,382
2022-09-19,386
2022-09-20,387
2022-09-21,392
2022-09-22,396
2022-09-25,404
2022-09-26,407
2022-09-27,408
2022-09-28,411
2022-09-29,414
2022-10-02,419
2022-10-03,421
2022-10-04,421
2022-10-05,421
2022-10-06,426
2022-10-09,429
2022-10-10,430
2022-10-11,431
2022-10-12,431
2022-10-13,433
2022-10-15,439
2022-10-22,440
2022-10-29,443
2022-11-05,448
2022-11-12,448
2022-11-19,452
2022-11-26,455
2022-12-03,456
2022-12-10,457
2022-12-17,462
2022-12-24,466
2022-12-31,468
2023-01-07,470
2023-01-14,472
2023-01-21,471
2023-01-28,471
2023-02-11,471
2023-02-25,472
2023-03-11,473
2023-03-25,473
2023-04-08,473
2023-04-29,474
2023-06-17,474
2023-07-01,474
